junction Name,Latitude,Longitude
"Adugodi Jn, Adugodi Police Station",12.9439959,77.6075949
"SARJAPURA RD X KORAMANGALA,100 FT INNER RING RDÂ ",12.9275269,77.6209923
"BDA JUNCTION,KORAMANGALA,100FT INNER RINGRD X 7 TH MAIN",12.9314901,77.6225299
"Aishwarya Junction, Sarjapur Main Rd X Kormangala 80ft Rd",12.9248383,77.6336653
KRUPANIDHI COLLEGE JUNCTION,12.9242681,77.6286953
Maharaja Junction,12.9344424,77.6296631
"Mico Bande Jn, Banerghatta Road",12.9444113,77.6028035
NGV Rear Gate Jn,12.942555,77.6227526
Sony World Jn,12.9372395,77.6269336
"Srinivagilu Jn, Ejipura",12.9384969,77.6327201
UCO Bank Jn,12.9343735,77.6123144
Wipro Jn,12.9298422,77.6331223
Jaipuria Jn,12.935225,77.6244672
ISRO Jn X Wind Tunnel Road,12.9593674,77.6541719
Devara Beesanahalli Jn,12.9297513,77.6845514
Kadubeesanahalli Jn,12.9394237,77.6951706
HAL Main Gate Jn,12.9583292,77.6663094
Manipal Hospital Jn,12.9597903,77.649065
Marathahalli Bridge Jn,12.9569335,77.7011336
Yamalur Junction,12.9553808,77.6894043
Anepalya Junction,12.9527132,77.6052229
"Arts & Crafts circle Junction, Ashok Nagar",12.9751371,77.6079526
"Asirwadam Junction, Ashok Nagar",12.9708869,77.604779
Shoolay Circle,12.9662289,77.6067874
Butchery Jn,12.9624792,77.6189176
Campbell road Jn,12.9650303,77.6099443
Cash Pharmacy Jn,12.9680358,77.6003585
CMP Gate Jn,12.9580456,77.6060321
D'souza Circle,12.9672075,77.6111739
Johnson Market Jn,12.9644358,77.6067436
Lower Agaram Jn,12.9665081,77.6139106
Mayo Hall Jn,12.9743349,77.6110867
"Mother Teresa Jn,Ashok nagar",12.9666542,77.6087447
Nanjappa Circle,12.9600768,77.6016694
Old Police Station,12.968205,77.6062223
Opera Junction,12.9718839,77.6070025
Richmond Circle Jn,12.9648685,77.5968764
Palmgroove Jn,12.9703507,77.6102937
Arvind Super Bazaar Jn,12.9288274,77.5662519
Attimabbe Junction,12.9256959,77.5609076
Bhanashankari Bus Stand Jn,12.9174791,77.5737506
Kittur Rani Chenamma Circle Jn,12.9218478,77.5601747
Hosakerahalli Junction (KEB Junction),12.9305625,77.5434671
